2018-03-20__20:40:28 927M 783M 84.4660.2265%
2018-03-23__10:12:51 927M 763M 82.30851%
2018-03-23__10:12:57 927M 763M 82.2006%
2018-03-23__10:13:04 927M 762M 82.2006%
2018-03-23__10:13:10 927M 761M 82.0928%
2018-03-23__10:13:17 927M 761M 81.9849%
2018-03-23__10:13:23 927M 760M 81.877.7832%
2018-03-23__10:13:29 927M 759M 81.877%
2018-03-23__10:13:36 927M 759M 81.877%
2018-03-23__10:13:42 927M 758M 81.7691%
2018-03-23__10:13:49 927M 757M 81.6613%
2018-03-23__10:13:55 927M 757M 81.6613 77.5782%
2018-03-23__10:14:02 927M 756M 81.5534%
2018-03-23__10:14:08 927M 755M 81.4455%
2018-03-23__10:14:14 927M 754M 81.3376%
2018-03-23__10:14:21 927M 754M 81.33762546%
2018-03-23__10:14:27 927M 754M 81.3376%
2018-03-23__10:14:34 927M 753M 81.2298%
2018-03-23__10:14:40 927M 752M 81.1219%
2018-03-23__10:14:47 927M 752M 81.1219%
2018-03-23__10:14:53 927M 751M 81.014% 76.9633%
2018-03-23__10:14:59 927M 750M 80.7983%
2018-03-23__10:15:06 927M 749M 80.7983%
2018-03-23__10:15:12 927M 748M 80.6904%
2018-03-23__10:15:19 927M 747M 80.58255534%
2018-03-23__10:15:25 927M 747M 80.5825%
2018-03-23__10:15:32 927M 747M 80.5825%
2018-03-23__10:15:38 927M 746M 80.4746%
2018-03-23__10:15:44 927M 745M 80.3668%
2018-03-23__10:15:51 927M 744M 80.2589%
2018-03-23__10:15:57 927M 743M 80.151%
2018-03-23__10:16:04 927M 743M 80.151%
2018-03-23__10:16:10 927M 742M 80.0431%
2018-03-23__10:19:56 927M 759M 81.87732%
2018-03-23__10:20:18 927M 764M 82.4164%
2018-03-23__10:22:36 927M 760M 81.9849%
2018-03-23__10:23:32 927M 760M 81.9849%
2018-03-23__10:26:23 927M 765M 82.5243%
2018-03-23__10:27:10 927M 764M 82.416478.2956%
2018-03-23__10:27:16 927M 764M 82.4164%
2018-03-23__10:27:23 927M 764M 82.3085%
2018-03-23__10:27:30 927M 763M 82.3085%
2018-03-23__10:27:36 927M 762M 82.2006906%
2018-03-23__10:34:41 927M 765M 82.4164%
2018-03-23__10:34:41 927M 763M 82.4164%
2018-03-23__10:34:41 927M 764M 82.4164%
2018-03-23__10:35:03 927M 764M 82.3085%
2018-03-23__10:35:03 927M 763M 82.2006 78.1931%
2018-03-23__10:35:03 927M 763M 82.2006%
2018-03-23__10:37:44 927M 766M 82.6321%
2018-03-23__10:38:07 927M 766M 82.6321%
2018-03-23__10:39:31 927M 766M 82.63215005%
2018-03-23__10:42:54 927M 761M 82.0928%
2018-03-23__10:43:32 927M 764M 82.4164%
2018-03-23__10:45:06 927M 765M 82.5243%
2018-03-23__10:50:16 927M 765M 82.5243%
2018-03-23__10:50:22 927M 765M 82.5243%
2018-03-23__10:50:38 927M 764M 82.4164%
2018-03-23__10:50:44 927M 764M 82.4164%
2018-03-23__10:52:14 927M 764M 82.4164%
2018-03-23__10:52:17 927M 764M 82.4164.2956%
3__10:52:17 927M 764M 82.4164% 782018-03-20__20:40:28 927M 783M 84.4660.2265%
2018-03-20__20:40:32 927M 767M 82.74%
2018-03-20__20:40:35 927M 782M 84.3581%
2018-03-20__20:40:39 927M 766M 82.6321%
2018-03-20__20:40:42 927M 781M 84.2503%
2018-03-20__20:40:49 927M 781M 84.2503 80.0377%
2018-03-20__20:40:52 927M 765M 82.5243%
2018-03-20__20:40:55 927M 781M 84.1424%
2018-03-20__20:40:58 927M 764M 82.4164%
2018-03-20__20:41:02 927M 779M 84.03459353%
2018-03-20__20:41:05 927M 764M 82.3085%
2018-03-20__20:41:08 927M 780M 84.1424%
2018-03-20__20:41:11 927M 763M 82.3085%
2018-03-20__20:41:15 927M 779M 84.0345%
2018-03-20__20:41:18 927M 762M 82.2006%
2018-03-20__20:41:22 927M 779M 84.0345%
0__20:41:22 927M 7792018-03-20__20:41:24 927M 762M 82.200678.0906%
